age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,is_success
58,management,married,tertiary,no,2143,yes,no,cellular,5,June,261,1,-1,0,,no
44,technician,single,secondary,no,29,yes,no,cellular,5,June,151,1,-1,0,,no
33,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,June,76,1,-1,0,,no
47,blue-collar,married,,no,1506,yes,no,cellular,5,June,92,1,-1,0,,no
33,,single,,no,1,no,no,cellular,5,June,198,1,-1,0,,no
35,management,married,tertiary,no,231,yes,no,cellular,5,June,139,1,-1,0,,no
28,management,single,tertiary,no,447,yes,yes,cellular,5,June,217,1,-1,0,,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,cellular,5,June,380,1,-1,0,,no
58,retired,married,primary,no,121,yes,no,cellular,5,June,50,1,-1,0,,no
43,technician,single,secondary,no,593,yes,no,cellular,5,June,55,1,-1,0,,no
41,admin.,divorced,secondary,no,270,yes,no,cellular,5,June,222,1,-1,0,,no
29,admin.,single,secondary,no,390,yes,no,cellular,5,June,137,1,-1,0,,no
53,technician,married,secondary,no,6,yes,no,cellular,5,June,517,1,-1,0,,no
58,technician,married,,no,71,yes,no,cellular,5,June,71,1,-1,0,,no
57,services,married,secondary,no,162,yes,no,cellular,5,June,174,1,-1,0,,no
51,retired,married,primary,no,229,yes,no,cellular,5,June,353,1,-1,0,,no
45,admin.,single,,no,13,yes,no,cellular,5,June,98,1,-1,0,,no
57,blue-collar,married,primary,no,52,yes,no,cellular,5,June,38,1,-1,0,,no
60,retired,married,primary,no,60,yes,no,cellular,5,June,219,1,-1,0,,no
33,services,married,secondary,no,0,yes,no,cellular,5,June,54,1,-1,0,,no
28,blue-collar,married,secondary,no,723,yes,yes,cellular,5,June,262,1,-1,0,,no
56,management,married,tertiary,no,779,yes,no,cellular,5,may,164,1,-1,0,,no
32,blue-collar,single,primary,no,23,yes,yes,cellular,5,may,160,1,-1,0,,no
25,services,married,secondary,no,50,yes,no,cellular,5,may,342,1,-1,0,,no
40,retired,married,primary,no,0,yes,yes,cellular,5,July,181,1,-1,0,,no
44,admin.,married,secondary,no,-372,yes,no,cellular,5,may,172,1,-1,0,,no
39,management,single,tertiary,no,255,yes,no,cellular,5,July,296,1,-1,0,,no
52,entrepreneur,married,secondary,no,113,yes,yes,cellular,5,July,127,1,-1,0,,no
46,management,single,secondary,no,-246,yes,no,cellular,5,July,255,2,-1,0,,no
36,technician,single,secondary,no,265,yes,yes,cellular,5,July,348,1,-1,0,,no
57,technician,married,secondary,no,839,no,yes,cellular,5,July,225,1,-1,0,,no
49,management,married,tertiary,no,378,yes,no,cellular,5,July,230,1,-1,0,,no
60,admin.,married,secondary,no,39,yes,yes,cellular,5,July,208,1,-1,0,,no
59,blue-collar,married,secondary,no,0,yes,no,cellular,5,July,226,1,-1,0,,no
51,management,married,tertiary,no,10635,yes,no,cellular,5,July,336,1,-1,0,,no
57,technician,divorced,secondary,no,63,yes,no,cellular,5,July,242,1,-1,0,,no
25,blue-collar,married,secondary,no,-7,yes,no,cellular,5,July,365,1,-1,0,,no
53,technician,married,secondary,no,-3,no,no,cellular,5,July,1666,1,-1,0,,no
36,admin.,divorced,secondary,no,506,yes,no,cellular,5,July,577,1,-1,0,,no
37,admin.,single,secondary,no,0,yes,no,cellular,5,July,137,1,-1,0,,no
44,services,divorced,secondary,no,2586,yes,no,cellular,5,July,160,1,-1,0,,no
50,management,married,secondary,no,49,yes,no,cellular,5,July,180,2,-1,0,,no
60,blue-collar,married,,no,104,yes,no,cellular,5,July,22,1,-1,0,,no
54,retired,married,secondary,no,529,yes,no,cellular,5,July,1492,1,-1,0,,no
58,retired,married,,no,96,yes,no,cellular,5,July,616,1,-1,0,,no
36,admin.,single,primary,no,-171,yes,no,cellular,5,July,242,1,-1,0,,no
58,self-employed,married,tertiary,no,-364,yes,no,cellular,5,may,355,1,-1,0,,no
44,technician,married,secondary,no,0,yes,no,cellular,5,may,225,2,-1,0,,no
55,technician,divorced,secondary,no,0,no,no,cellular,5,may,160,1,-1,0,,no
29,management,single,tertiary,no,0,yes,no,cellular,5,may,363,1,-1,0,,no
54,blue-collar,married,secondary,no,1291,yes,no,cellular,5,August,266,1,-1,0,,no
48,management,divorced,tertiary,no,-244,yes,no,cellular,5,may,253,1,-1,0,,no
32,management,married,tertiary,no,0,yes,no,cellular,5,may,179,1,-1,0,,no
42,admin.,single,secondary,no,-76,yes,no,cellular,5,may,787,1,-1,0,,no
24,technician,single,secondary,no,-103,yes,yes,cellular,5,may,145,1,-1,0,,no
38,entrepreneur,single,tertiary,no,243,no,yes,cellular,5,may,174,1,-1,0,,no
38,management,single,tertiary,no,424,yes,no,cellular,5,may,104,1,-1,0,,no
47,blue-collar,married,,no,306,yes,no,cellular,5,may,13,1,-1,0,,no
40,blue-collar,single,,no,24,yes,no,cellular,5,may,185,1,-1,0,,no
46,services,married,primary,no,179,yes,no,cellular,5,may,1778,1,-1,0,,no
32,admin.,married,tertiary,no,0,yes,no,cellular,5,may,138,1,-1,0,,no
53,technician,divorced,secondary,no,989,yes,no,cellular,5,may,812,1,-1,0,,no
57,blue-collar,married,primary,no,249,yes,no,cellular,5,may,164,1,-1,0,,no
33,services,married,secondary,no,790,yes,no,cellular,5,may,391,1,-1,0,,no
49,blue-collar,married,,no,154,yes,no,cellular,5,may,357,1,-1,0,,no
51,management,married,tertiary,no,6530,yes,no,cellular,5,may,91,1,-1,0,,no
60,retired,married,tertiary,no,100,no,no,cellular,5,may,528,1,-1,0,,no
59,management,divorced,tertiary,no,59,yes,no,cellular,5,may,273,1,-1,0,,no
55,technician,married,secondary,no,1205,yes,no,cellular,5,August,158,2,-1,0,,no
35,blue-collar,single,secondary,no,12223,yes,yes,cellular,5,August,177,1,-1,0,,no
57,blue-collar,married,secondary,no,5935,yes,yes,cellular,5,August,258,1,-1,0,,no
31,services,married,secondary,no,25,yes,yes,cellular,5,August,172,1,-1,0,,no
54,management,married,secondary,no,282,yes,yes,cellular,5,August,154,1,-1,0,,no
55,blue-collar,married,primary,no,23,yes,no,cellular,5,August,291,1,-1,0,,no
43,technician,married,secondary,no,1937,yes,no,cellular,5,August,181,1,-1,0,,no
53,technician,married,secondary,no,384,yes,no,cellular,5,August,176,1,-1,0,,no
44,blue-collar,married,secondary,no,582,no,yes,cellular,5,August,211,1,-1,0,,no
55,services,divorced,secondary,no,91,no,no,cellular,5,August,349,1,-1,0,,no
49,services,divorced,secondary,no,0,yes,yes,cellular,5,August,272,1,-1,0,,no
55,services,divorced,secondary,yes,1,yes,no,cellular,5,August,208,1,-1,0,,no
45,admin.,single,secondary,no,206,yes,no,cellular,5,August,193,1,-1,0,,no
47,services,divorced,secondary,no,164,no,no,cellular,5,August,212,1,-1,0,,no
42,technician,single,secondary,no,690,yes,no,cellular,5,August,20,1,-1,0,,no
46,self-employed,married,tertiary,no,137,yes,yes,cellular,5,August,246,1,-1,0,,no
51,blue-collar,married,primary,no,173,yes,no,cellular,5,August,529,2,-1,0,,no
46,management,divorced,secondary,no,16,yes,yes,cellular,5,August,188,2,-1,0,,no
57,retired,married,secondary,no,486,yes,no,cellular,5,August,180,2,-1,0,,no
42,management,single,secondary,no,50,no,no,cellular,5,August,48,1,-1,0,,no
30,technician,married,secondary,no,152,yes,yes,cellular,5,August,213,2,-1,0,,no
60,admin.,married,secondary,no,290,yes,no,cellular,5,August,583,1,-1,0,,no
60,blue-collar,married,,no,54,yes,no,cellular,5,August,221,1,-1,0,,no
57,entrepreneur,divorced,secondary,no,-37,no,no,cellular,5,August,173,1,-1,0,,no
36,management,married,tertiary,no,101,yes,yes,cellular,5,August,426,1,-1,0,,no
55,blue-collar,married,secondary,no,383,no,no,cellular,5,August,287,1,-1,0,,no
60,retired,married,tertiary,no,81,yes,no,cellular,5,August,101,1,-1,0,,no
39,technician,married,secondary,no,0,yes,no,cellular,5,August,203,1,-1,0,,no
46,management,married,tertiary,no,229,yes,no,cellular,5,August,197,1,-1,0,,no
44,blue-collar,married,secondary,no,-674,yes,no,cellular,5,August,257,1,-1,0,,no
53,blue-collar,married,primary,no,90,no,no,cellular,5,August,124,1,-1,0,,no
52,blue-collar,married,primary,no,128,yes,no,cellular,5,August,229,1,-1,0,,no
59,blue-collar,married,primary,no,179,yes,no,cellular,5,August,55,3,-1,0,,no
27,technician,single,tertiary,no,0,yes,no,cellular,5,August,400,1,-1,0,,no
44,blue-collar,married,secondary,no,54,yes,no,cellular,5,may,197,1,-1,0,,no
47,technician,married,tertiary,no,151,yes,no,cellular,5,may,190,1,-1,0,,no
34,admin.,married,secondary,no,61,no,yes,cellular,5,may,21,1,-1,0,,no
59,retired,single,secondary,no,30,yes,no,cellular,5,may,514,1,-1,0,,no
45,management,married,tertiary,no,523,yes,no,cellular,5,may,849,2,-1,0,,no
29,services,divorced,secondary,no,31,yes,no,cellular,5,may,194,1,-1,0,,no
46,technician,divorced,secondary,no,79,no,no,cellular,5,may,144,1,-1,0,,no
56,self-employed,married,primary,no,-34,yes,yes,cellular,5,September,212,2,-1,0,,no
36,blue-collar,married,primary,no,448,yes,no,cellular,5,September,286,1,-1,0,,no
59,retired,divorced,primary,no,81,yes,no,cellular,5,September,107,1,-1,0,,no
44,blue-collar,married,secondary,no,144,yes,no,cellular,5,September,247,2,-1,0,,no
41,admin.,married,secondary,no,351,yes,no,cellular,5,September,518,1,-1,0,,no
33,management,single,tertiary,no,-67,yes,no,cellular,5,September,364,1,-1,0,,no
59,management,divorced,tertiary,no,262,no,no,cellular,5,September,178,1,-1,0,,no
57,technician,married,primary,no,0,no,no,cellular,5,September,98,1,-1,0,,no
56,technician,divorced,,no,56,yes,no,cellular,5,September,439,1,-1,0,,no
51,blue-collar,married,secondary,no,26,yes,no,cellular,5,September,79,1,-1,0,,no
34,admin.,married,,no,3,yes,no,cellular,5,September,120,3,-1,0,,no
43,services,married,secondary,no,41,yes,yes,cellular,5,September,127,2,-1,0,,no
52,technician,married,tertiary,no,7,no,yes,cellular,5,September,175,1,-1,0,,no
33,technician,single,secondary,no,105,yes,no,cellular,5,September,262,2,-1,0,,no
29,admin.,single,secondary,no,818,yes,yes,cellular,5,September,61,1,-1,0,,no
34,services,married,secondary,no,-16,yes,yes,cellular,5,September,78,1,-1,0,,no
31,blue-collar,married,secondary,no,0,yes,no,cellular,5,September,143,1,-1,0,,no
55,management,married,,no,1185,no,no,cellular,5,September,677,1,-1,0,,no
32,admin.,single,secondary,no,217,yes,no,cellular,5,may,345,1,-1,0,,no
38,technician,single,secondary,no,1685,yes,no,cellular,5,may,185,1,-1,0,,no
55,admin.,single,secondary,no,802,yes,yes,cellular,5,may,100,2,-1,0,,no
